wl,k
6.968E+00,4.886E+01
7.044E+00,4.938E+01
7.121E+00,4.990E+01
7.200E+00,5.044E+01
7.281E+00,5.099E+01
7.364E+00,5.155E+01
7.449E+00,5.212E+01
7.535E+00,5.271E+01
7.624E+00,5.331E+01
7.715E+00,5.392E+01
7.808E+00,5.454E+01
7.903E+00,5.518E+01
8.001E+00,5.584E+01
8.100E+00,5.651E+01
8.203E+00,5.720E+01
8.308E+00,5.790E+01
8.416E+00,5.862E+01
8.527E+00,5.936E+01
8.641E+00,6.011E+01
8.757E+00,6.089E+01
8.877E+00,6.168E+01
9.001E+00,6.250E+01
9.127E+00,6.333E+01
9.257E+00,6.419E+01
9.392E+00,6.507E+01
9.530E+00,6.598E+01
9.672E+00,6.691E+01
9.819E+00,6.787E+01
9.970E+00,6.885E+01
1.013E+01,6.986E+01
1.029E+01,7.090E+01
1.045E+01,7.197E+01
1.062E+01,7.307E+01
1.080E+01,7.421E+01
1.098E+01,7.538E+01
1.117E+01,7.658E+01
1.137E+01,7.783E+01
1.157E+01,7.911E+01
1.178E+01,8.043E+01
1.200E+01,8.180E+01
1.223E+01,8.321E+01
1.246E+01,8.467E+01
1.271E+01,8.618E+01
1.296E+01,8.774E+01
1.323E+01,8.936E+01
1.350E+01,9.103E+01
1.379E+01,9.277E+01
1.409E+01,9.457E+01
