wl,n
6.968E+00,4.991E+00
7.044E+00,5.097E+00
7.121E+00,5.207E+00
7.200E+00,5.320E+00
7.281E+00,5.437E+00
7.364E+00,5.557E+00
7.449E+00,5.682E+00
7.535E+00,5.811E+00
7.624E+00,5.944E+00
7.715E+00,6.082E+00
7.808E+00,6.225E+00
7.903E+00,6.373E+00
8.001E+00,6.526E+00
8.100E+00,6.684E+00
8.203E+00,6.848E+00
8.308E+00,7.019E+00
8.416E+00,7.195E+00
8.527E+00,7.379E+00
8.641E+00,7.569E+00
8.757E+00,7.767E+00
8.877E+00,7.972E+00
9.001E+00,8.186E+00
9.127E+00,8.408E+00
9.257E+00,8.639E+00
9.392E+00,8.880E+00
9.530E+00,9.131E+00
9.672E+00,9.393E+00
9.819E+00,9.665E+00
9.970E+00,9.950E+00
1.013E+01,1.025E+01
1.029E+01,1.056E+01
1.045E+01,1.088E+01
1.062E+01,1.122E+01
1.080E+01,1.158E+01
1.098E+01,1.195E+01
1.117E+01,1.234E+01
1.137E+01,1.275E+01
1.157E+01,1.318E+01
1.178E+01,1.363E+01
1.200E+01,1.410E+01
1.223E+01,1.460E+01
1.246E+01,1.512E+01
1.271E+01,1.567E+01
1.296E+01,1.625E+01
1.323E+01,1.687E+01
1.350E+01,1.752E+01
1.379E+01,1.820E+01
1.409E+01,1.893E+01
