,Wavelength,n,k
0,7.0,5.035,49.08102
1,7.1,5.177,49.75772
2,7.2,5.32,50.44
3,7.3,5.464,51.11862
4,7.4,5.61,51.79057
5,7.5,5.758,52.46971
6,7.6,5.908,53.14904
7,7.7,6.059,53.81974
8,7.8,6.213,54.48646
9,7.9,6.368,55.15978
10,8.0,6.524,55.83324
11,8.1,6.684,56.51
12,8.2,6.843,57.17998
13,8.3,7.006,57.84671
14,8.4,7.169,58.51311
15,8.5,7.334,59.18113
16,8.6,7.5,59.83912
17,8.7,7.669,60.50654
18,8.8,7.84,61.17473
19,8.9,8.011,61.83159
20,9.0,8.184,62.4934
21,9.1,8.36,63.15184
22,9.2,8.538,63.8138
23,9.3,8.715,64.47092
24,9.4,8.894,65.12241
25,9.5,9.076,65.78201
26,9.6,9.26,66.43955
27,9.7,9.445,67.09278
28,9.8,9.63,67.74581
29,9.9,9.818,68.39871
30,10.0,10.006,69.04057
31,10.1,10.193,69.67015
32,10.2,10.384,70.3092
33,10.3,10.58,70.96655
34,10.4,10.78,71.63668
35,10.5,10.98,72.29869
36,10.6,11.18,72.94291
37,10.7,11.379,73.57503
38,10.8,11.58,74.21
39,10.9,11.785,74.85978
40,11.0,11.991,75.50864
41,11.100000000000001,12.197,76.14256
42,11.2,12.401,76.76667
43,11.3,12.605,77.38951
44,11.4,12.813,78.02081
45,11.5,13.028,78.66202
46,11.600000000000001,13.245,79.30045
47,11.7,13.459,79.9295
48,11.8,13.673,80.55521
49,11.9,13.886,81.18075
50,12.0,14.1,81.8
51,12.100000000000001,14.315,82.40969
52,12.2,14.533,83.02283
53,12.3,14.758,83.65409
54,12.4,14.985,84.29317
55,12.5,15.208,84.91562
56,12.600000000000001,15.427,85.51694
57,12.7,15.647,86.11887
58,12.8,15.877,86.73951
59,12.9,16.11,87.36789
60,13.0,16.342,87.98365
61,13.100000000000001,16.57,88.58208
62,13.2,16.8,89.17878
63,13.3,17.037,89.78904
64,13.4,17.279,90.4104
65,13.5,17.52,91.03
66,13.600000000000001,17.757,91.63782
67,13.7,17.99,92.2359
68,13.8,18.223,92.82927
69,13.9,18.46,93.42298
70,14.0,18.703,94.02206
