,Wavelength,n,k
0,7.0,1.392,0.01665
1,7.1,1.383,0.01788
2,7.2,1.374,0.0192
3,7.3,1.364,0.02063
4,7.4,1.354,0.02218
5,7.5,1.344,0.02385
6,7.6,1.333,0.02566
7,7.7,1.322,0.02762
8,7.8,1.311,0.02974
9,7.9,1.299,0.03205
10,8.0,1.286,0.03456
11,8.1,1.273,0.03731
12,8.2,1.26,0.04029
13,8.3,1.246,0.04357
14,8.4,1.231,0.04715
15,8.5,1.216,0.05108
16,8.6,1.2,0.05541
17,8.7,1.184,0.06019
18,8.8,1.166,0.06546
19,8.9,1.148,0.07131
20,9.0,1.129,0.0778
21,9.1,1.109,0.08505
22,9.2,1.089,0.09315
23,9.3,1.067,0.10225
24,9.4,1.044,0.11248
25,9.5,1.02,0.12406
26,9.6,0.995,0.1372
27,9.7,0.968,0.15218
28,9.8,0.94,0.16933
29,9.9,0.912,0.18903
30,10.0,0.882,0.21175
31,10.1,0.851,0.23802
32,10.2,0.82,0.2684
33,10.3,0.789,0.30348
34,10.4,0.759,0.34373
35,10.5,0.731,0.38943
36,10.6,0.706,0.44047
37,10.7,0.686,0.49633
38,10.8,0.671,0.55611
39,10.9,0.663,0.61874
40,11.0,0.66,0.68317
41,11.100000000000001,0.664,0.74853
42,11.2,0.674,0.81415
43,11.3,0.69,0.8795
44,11.4,0.712,0.94418
45,11.5,0.74,1.00783
46,11.600000000000001,0.774,1.07005
47,11.7,0.814,1.13037
48,11.8,0.86,1.18823
49,11.9,0.913,1.24285
50,12.0,0.973,1.29337
51,12.100000000000001,1.039,1.33861
52,12.2,1.112,1.37728
53,12.3,1.191,1.40791
54,12.4,1.275,1.42897
55,12.5,1.362,1.43901
56,12.600000000000001,1.451,1.43689
57,12.7,1.54,1.42196
58,12.8,1.625,1.39425
59,12.9,1.704,1.35465
60,13.0,1.774,1.30476
61,13.100000000000001,1.834,1.2468
62,13.2,1.883,1.18326
63,13.3,1.921,1.11669
64,13.4,1.948,1.04932
65,13.5,1.966,0.98304
66,13.600000000000001,1.974,0.91924
67,13.7,1.975,0.85882
68,13.8,1.97,0.80237
69,13.9,1.96,0.75015
70,14.0,1.946,0.70213
