wl,n
6.98324,1.39385
7.00280,1.39212
7.02247,1.39037
7.04225,1.38859
7.06215,1.38679
7.08215,1.38497
7.10227,1.38313
7.12251,1.38126
7.14286,1.37937
7.16332,1.37746
7.18391,1.37552
7.20461,1.37356
7.22543,1.37157
7.24638,1.36955
7.26744,1.36751
7.28863,1.36545
7.30994,1.36335
7.33138,1.36123
7.35294,1.35908
7.37463,1.35690
7.39645,1.35469
7.41840,1.35245
7.44048,1.35018
7.46269,1.34787
7.48503,1.34554
7.50751,1.34317
7.53012,1.34077
7.55287,1.33834
7.57576,1.33587
7.59878,1.33337
7.62195,1.33082
7.64526,1.32825
7.66871,1.32563
7.69231,1.32298
7.71605,1.32028
7.73994,1.31755
7.76398,1.31477
7.78816,1.31195
7.81250,1.30909
7.83699,1.30619
7.86164,1.30323
7.88644,1.30024
7.91139,1.29719
7.93651,1.29410
7.96178,1.29096
7.98722,1.28776
8.01282,1.28451
8.03859,1.28122
8.06452,1.27786
8.09061,1.27445
8.11688,1.27098
8.14332,1.26745
8.16993,1.26387
8.19672,1.26022
8.22368,1.25650
8.25083,1.25273
8.27815,1.24888
8.30565,1.24496
8.33333,1.24098
8.36120,1.23692
8.38926,1.23279
8.41751,1.22858
8.44595,1.22429
8.47458,1.21992
8.50340,1.21547
8.53242,1.21093
8.56164,1.20631
8.59107,1.20159
8.62069,1.19678
8.65052,1.19187
8.68056,1.18687
8.71080,1.18176
8.74126,1.17654
8.77193,1.17122
8.80282,1.16579
8.83392,1.16024
8.86525,1.15457
8.89680,1.14878
8.92857,1.14287
8.96057,1.13682
8.99281,1.13064
9.02527,1.12432
9.05797,1.11786
9.09091,1.11124
9.12409,1.10448
9.15751,1.09755
9.19118,1.09047
9.22509,1.08321
9.25926,1.07578
9.29368,1.06817
9.32836,1.06037
9.36330,1.05239
9.39850,1.04420
9.43396,1.03581
9.46970,1.02721
9.50570,1.01839
9.54198,1.00935
9.57854,1.00008
9.61538,0.99058
9.65251,0.98083
9.68992,0.97084
9.72763,0.96059
9.76563,0.95009
9.80392,0.93933
9.84252,0.92832
9.88142,0.91704
9.92063,0.90550
9.96016,0.89371
10.00000,0.88168
10.04016,0.86941
10.08065,0.85692
10.12146,0.84424
10.16260,0.83140
10.20408,0.81842
10.24590,0.80537
10.28807,0.79230
10.33058,0.77927
10.37344,0.76638
10.41667,0.75370
10.46025,0.74134
10.50420,0.72943
10.54852,0.71808
10.59322,0.70742
10.63830,0.69758
10.68376,0.68868
10.72961,0.68082
10.77586,0.67413
10.82251,0.66867
10.86957,0.66453
10.91703,0.66176
10.96491,0.66041
11.01322,0.66051
11.06195,0.66208
11.11111,0.66515
11.16071,0.66974
11.21076,0.67587
11.26126,0.68356
11.31222,0.69285
11.36364,0.70376
11.41553,0.71635
11.46789,0.73066
11.52074,0.74675
11.57407,0.76470
11.62791,0.78456
11.68224,0.80644
11.73709,0.83041
11.79245,0.85657
11.84834,0.88502
11.90476,0.91585
11.96172,0.94914
12.01923,0.98498
12.07729,1.02342
12.13592,1.06450
12.19512,1.10822
12.25490,1.15452
12.31527,1.20330
12.37624,1.25437
12.43781,1.30747
12.50000,1.36224
12.56281,1.41821
12.62626,1.47481
12.69036,1.53139
12.75510,1.58722
12.82051,1.64151
12.88660,1.69348
12.95337,1.74235
13.02083,1.78746
13.08901,1.82820
13.15789,1.86415
13.22751,1.89501
13.29787,1.92065
13.36898,1.94110
13.44086,1.95651
13.51351,1.96714
13.58696,1.97331
13.66120,1.97540
13.73626,1.97382
13.81215,1.96897
13.88889,1.96126
13.96648,1.95104
14.04494,1.93866
