,Wavelength,n,k
0,7.0,14.421,63.70471
1,7.1,14.719,64.53308
2,7.2,15.023,65.36479
3,7.3,15.333,66.19762
4,7.4,15.65,67.02937
5,7.5,15.971,67.85782
6,7.6,16.299,68.68076
7,7.7,16.632,69.49598
8,7.8,16.97,70.30132
9,7.9,17.313,71.09599
10,8.0,17.661,71.88054
11,8.1,18.013,72.65559
12,8.2,18.369,73.42176
13,8.3,18.729,74.17967
14,8.4,19.093,74.92992
15,8.5,19.46,75.67314
16,8.6,19.829,76.40994
17,8.7,20.201,77.14093
18,8.8,20.575,77.86675
19,8.9,20.95,78.58798
20,9.0,21.328,79.30496
21,9.1,21.706,80.01761
22,9.2,22.085,80.72585
23,9.3,22.465,81.42959
24,9.4,22.844,82.12874
25,9.5,23.223,82.82321
26,9.6,23.601,83.51292
27,9.7,23.979,84.19778
28,9.8,24.355,84.87769
29,9.9,24.729,85.55257
30,10.0,25.101,86.22233
31,10.1,25.47,86.88688
32,10.2,25.837,87.54613
33,10.3,26.2,88.2
34,10.4,26.56,88.84845
35,10.5,26.916,89.49163
36,10.6,27.27,90.12978
37,10.7,27.621,90.7631
38,10.8,27.97,91.3918
39,10.9,28.316,92.01611
40,11.0,28.661,92.63625
41,11.100000000000001,29.005,93.25241
42,11.2,29.348,93.86483
43,11.3,29.69,94.47372
44,11.4,30.032,95.07929
45,11.5,30.373,95.68176
46,11.600000000000001,30.715,96.28134
47,11.7,31.058,96.87825
48,11.8,31.401,97.47271
49,11.9,31.746,98.06493
50,12.0,32.092,98.65513
51,12.100000000000001,32.441,99.24352
52,12.2,32.791,99.83031
53,12.3,33.144,100.41574
54,12.4,33.5,101.0
55,12.5,33.859,101.58325
56,12.600000000000001,34.22,102.16539
57,12.7,34.584,102.74623
58,12.8,34.948,103.3256
59,12.9,35.313,103.90332
60,13.0,35.677,104.47923
61,13.100000000000001,36.041,105.05314
62,13.2,36.403,105.62489
63,13.3,36.762,106.19429
64,13.4,37.119,106.76117
65,13.5,37.472,107.32535
66,13.600000000000001,37.82,107.88667
67,13.7,38.163,108.44494
68,13.8,38.5,109.0
69,13.9,38.831,109.55171
70,14.0,39.156,110.10012
