,Wavelength,n,k
0,0.3,1.566,1.627
1,0.325,1.553,1.96551
2,0.35,1.934,1.737
3,0.375,1.784,1.6386
4,0.4,1.713,1.62
5,0.425,1.517,1.54694
6,0.45,1.334,1.686
7,0.475,1.24,1.68482
8,0.5,0.904,1.715
9,0.525,0.64,2.01026
10,0.55,0.466,2.298
11,0.575,0.344,2.61407
12,0.6000000000000001,0.313,2.945
13,0.625,0.311,3.2605
14,0.65,0.406,3.461
15,0.675,0.329,3.66799
16,0.7,0.425,3.852
17,0.7250000000000001,0.397,4.08748
18,0.75,0.364,4.228
19,0.775,0.357,4.4085
20,0.8,0.36,4.602
21,0.825,0.362,4.79251
22,0.8500000000000001,0.371,4.972
23,0.875,0.361,5.17582
24,0.9000000000000001,0.376,5.343
25,0.925,0.385,5.51756
26,0.95,0.389,5.704
27,0.9750000000000001,0.396,5.89199
28,1.0,0.411,6.05
29,1.0250000000000001,0.418,6.23746
30,1.05,0.426,6.424
31,1.075,0.441,6.60252
32,1.1,0.456,6.769
33,1.125,0.471,6.93473
34,1.1500000000000001,0.487,7.113
35,1.175,0.503,7.28624
36,1.2,0.518,7.444
37,1.225,0.535,7.61696
38,1.25,0.551,7.788
39,1.2750000000000001,0.563,7.94396
40,1.3,0.58,8.119
41,1.3250000000000002,0.596,8.28751
42,1.35,0.612,8.455
43,1.375,0.626,8.61891
44,1.4000000000000001,0.641,8.79
45,1.425,0.658,8.95614
46,1.4500000000000002,0.674,9.121
47,1.475,0.691,9.29606
48,1.5000000000000002,0.707,9.457
49,1.5250000000000001,0.725,9.62544
50,1.55,0.74,9.79
51,1.5750000000000002,0.762,9.96246
52,1.6,0.782,10.132
53,1.6250000000000002,0.8,10.29738
54,1.6500000000000001,0.818,10.471
55,1.675,0.841,10.63629
56,1.7000000000000002,0.862,10.801
57,1.725,0.883,10.97149
58,1.7500000000000002,0.904,11.13
59,1.7750000000000001,0.924,11.29548
60,1.8,0.948,11.459
61,1.8250000000000002,0.97,11.62038
62,1.85,0.994,11.784
63,1.8750000000000002,1.019,11.94963
64,1.9000000000000001,1.046,12.129
65,1.925,1.076,12.30102
66,1.9500000000000002,1.102,12.465
67,1.975,1.129,12.62694
68,2.0,1.158,12.792
69,2.025,1.186,12.95549
70,2.05,1.213,13.116
71,2.075,1.243,13.28336
72,2.1,1.273,13.441
73,2.125,1.302,13.60238
74,2.15,1.331,13.759
75,2.175,1.361,13.92078
76,2.2,1.391,14.078
77,2.225,1.425,14.2389
78,2.25,1.458,14.395
79,2.275,1.493,14.55549
80,2.3,1.526,14.711
81,2.3249999999999997,1.555,14.86549
82,2.35,1.588,15.021
83,2.375,1.622,15.17755
84,2.4,1.656,15.332
85,2.425,1.737,15.47725
86,2.4499999999999997,1.77,15.629
87,2.475,1.809,15.78307
88,2.5,1.836,15.929
