wl,k
6.969E+00,4.801E+01
7.045E+00,4.850E+01
7.122E+00,4.899E+01
7.201E+00,4.949E+01
7.282E+00,5.001E+01
7.365E+00,5.053E+01
7.450E+00,5.107E+01
7.536E+00,5.162E+01
7.625E+00,5.217E+01
7.716E+00,5.274E+01
7.809E+00,5.332E+01
7.904E+00,5.392E+01
8.001E+00,5.453E+01
8.101E+00,5.515E+01
8.204E+00,5.578E+01
8.309E+00,5.643E+01
8.417E+00,5.709E+01
8.528E+00,5.777E+01
8.642E+00,5.846E+01
8.758E+00,5.917E+01
8.878E+00,5.990E+01
9.002E+00,6.064E+01
9.128E+00,6.140E+01
9.259E+00,6.218E+01
9.393E+00,6.298E+01
9.531E+00,6.380E+01
9.673E+00,6.464E+01
9.820E+00,6.550E+01
9.971E+00,6.638E+01
1.013E+01,6.728E+01
1.029E+01,6.821E+01
1.045E+01,6.917E+01
1.063E+01,7.015E+01
1.080E+01,7.115E+01
1.099E+01,7.219E+01
1.117E+01,7.325E+01
1.137E+01,7.434E+01
1.157E+01,7.547E+01
1.178E+01,7.662E+01
1.200E+01,7.782E+01
1.223E+01,7.904E+01
1.246E+01,8.031E+01
1.271E+01,8.162E+01
1.296E+01,8.296E+01
1.323E+01,8.435E+01
1.350E+01,8.578E+01
1.379E+01,8.727E+01
1.409E+01,8.880E+01
