wl,n
6.969E+00,6.182E+00
7.045E+00,6.304E+00
7.122E+00,6.430E+00
7.201E+00,6.560E+00
7.282E+00,6.693E+00
7.365E+00,6.831E+00
7.450E+00,6.972E+00
7.536E+00,7.118E+00
7.625E+00,7.269E+00
7.716E+00,7.424E+00
7.809E+00,7.584E+00
7.904E+00,7.748E+00
8.001E+00,7.919E+00
8.101E+00,8.094E+00
8.204E+00,8.275E+00
8.309E+00,8.462E+00
8.417E+00,8.655E+00
8.528E+00,8.855E+00
8.642E+00,9.061E+00
8.758E+00,9.274E+00
8.878E+00,9.495E+00
9.002E+00,9.722E+00
9.128E+00,9.958E+00
9.259E+00,1.020E+01
9.393E+00,1.046E+01
9.531E+00,1.072E+01
9.673E+00,1.099E+01
9.820E+00,1.127E+01
9.971E+00,1.156E+01
1.013E+01,1.186E+01
1.029E+01,1.217E+01
1.045E+01,1.250E+01
1.063E+01,1.284E+01
1.080E+01,1.319E+01
1.099E+01,1.355E+01
1.117E+01,1.393E+01
1.137E+01,1.432E+01
1.157E+01,1.473E+01
1.178E+01,1.515E+01
1.200E+01,1.559E+01
1.223E+01,1.605E+01
1.246E+01,1.653E+01
1.271E+01,1.703E+01
1.296E+01,1.754E+01
1.323E+01,1.808E+01
1.350E+01,1.865E+01
1.379E+01,1.923E+01
1.409E+01,1.984E+01
