,Wavelength,n,k
0,7.0,6.231,48.21061
1,7.1,6.394,48.85069
2,7.2,6.558,49.48361
3,7.3,6.723,50.12368
4,7.4,6.889,50.75074
5,7.5,7.057,51.39145
6,7.6,7.227,52.01577
7,7.7,7.397,52.63968
8,7.8,7.569,53.26366
9,7.9,7.741,53.8947
10,8.0,7.917,54.52375
11,8.1,8.092,55.14386
12,8.2,8.268,55.75539
13,8.3,8.446,56.3745
14,8.4,8.625,56.98616
15,8.5,8.804,57.59903
16,8.6,8.985,58.20576
17,8.7,9.167,58.81416
18,8.8,9.352,59.42711
19,8.9,9.535,60.03178
20,9.0,9.718,60.62801
21,9.1,9.906,61.23142
22,9.2,10.09,61.82947
23,9.3,10.279,62.42446
24,9.4,10.473,63.02173
25,9.5,10.662,63.61609
26,9.6,10.851,64.20913
27,9.7,11.041,64.79844
28,9.8,11.232,65.383
29,9.9,11.424,65.96847
30,10.0,11.615,66.54565
31,10.1,11.804,67.11047
32,10.2,11.993,67.67997
33,10.3,12.19,68.27039
34,10.4,12.399,68.87776
35,10.5,12.596,69.44628
36,10.6,12.782,69.9832
37,10.7,12.984,70.55941
38,10.8,13.19,71.15
39,10.9,13.379,71.69752
40,11.0,13.57,72.24704
41,11.100000000000001,13.782,72.83838
42,11.2,13.991,73.41938
43,11.3,14.185,73.96174
44,11.4,14.38,74.50619
45,11.5,14.585,75.07311
46,11.600000000000001,14.791,75.63732
47,11.7,14.991,76.18504
48,11.8,15.19,76.7293
49,11.9,15.39,77.27774
50,12.0,15.59,77.82
51,12.100000000000001,15.788,78.34872
52,12.2,15.989,78.87812
53,12.3,16.196,79.42531
54,12.4,16.406,79.98167
55,12.5,16.611,80.52387
56,12.600000000000001,16.811,81.04641
57,12.7,17.01,81.56726
58,12.8,17.213,82.10156
59,12.9,17.418,82.64086
60,13.0,17.62,83.16905
61,13.100000000000001,17.818,83.68267
62,13.2,18.019,84.19463
63,13.3,18.226,84.71757
64,13.4,18.439,85.24953
65,13.5,18.65,85.78
66,13.600000000000001,18.854,86.30074
67,13.7,19.053,86.81306
68,13.8,19.25,87.32065
69,13.9,19.448,87.8272
70,14.0,19.651,88.3364
