,Wavelength,n,k
0,7.0,1.45,0.0
1,7.1,1.449,0.0
2,7.2,1.449,0.0
3,7.3,1.449,0.0
4,7.4,1.448,0.0
5,7.5,1.448,0.0
6,7.6,1.447,0.0
7,7.7,1.446,0.0
8,7.8,1.445,0.0
9,7.9,1.444,0.0
10,8.0,1.444,0.0
11,8.1,1.444,0.0
12,8.2,1.442,0.0
13,8.3,1.441,0.0
14,8.4,1.441,0.0
15,8.5,1.44,0.0
16,8.6,1.438,0.0
17,8.7,1.437,0.0
18,8.8,1.436,0.0
19,8.9,1.434,0.0
20,9.0,1.434,0.0
21,9.1,1.433,0.0
22,9.2,1.432,0.0
23,9.3,1.43,0.0
24,9.4,1.429,0.0
25,9.5,1.427,0.0
26,9.6,1.426,0.0
27,9.7,1.425,0.0
28,9.8,1.423,0.0
29,9.9,1.421,0.0
30,10.0,1.419,0.0
31,10.1,1.418,0.0
32,10.2,1.416,0.0
33,10.3,1.414,0.0
34,10.4,1.411,0.0
35,10.5,1.409,0.0
36,10.6,1.407,0.0
37,10.7,1.405,0.0
38,10.8,1.403,0.0
39,10.9,1.4,0.0
40,11.0,1.398,0.0
41,11.100000000000001,1.395,0.0
42,11.2,1.393,0.0
43,11.3,1.391,0.0
44,11.4,1.388,0.0
45,11.5,1.385,0.0
46,11.600000000000001,1.383,0.0
47,11.7,1.38,0.0
48,11.8,1.378,0.0
49,11.9,1.375,0.0
50,12.0,1.372,0.0
51,12.100000000000001,1.37,0.0
52,12.2,1.367,0.0
53,12.3,1.365,0.0
54,12.4,1.362,0.0
55,12.5,1.36,0.0
56,12.600000000000001,1.357,0.0
57,12.7,1.354,0.0
58,12.8,1.352,0.0
59,12.9,1.349,0.0
60,13.0,1.347,0.0
61,13.100000000000001,1.344,0.0
62,13.2,1.342,0.0
63,13.3,1.339,0.0
64,13.4,1.336,0.0
65,13.5,1.332,0.0
66,13.600000000000001,1.329,0.0
67,13.7,1.326,0.0
68,13.8,1.323,0.0
69,13.9,1.321,0.0
70,14.0,1.318,0.0
