wl,k
6.9930,0.040
7.0423,0.039
7.0922,0.040
7.1429,0.040
7.1942,0.040
7.2464,0.039
7.2993,0.039
7.3529,0.037
7.4074,0.037
7.4627,0.036
7.5188,0.036
7.5758,0.035
7.6336,0.034
7.6923,0.034
7.7519,0.033
7.8125,0.033
7.8740,0.033
7.9365,0.032
8.0000,0.032
8.0645,0.032
8.1301,0.031
8.1967,0.031
8.2645,0.031
8.3333,0.031
8.4034,0.031
8.4746,0.031
8.5470,0.031
8.6207,0.032
8.6957,0.034
8.7719,0.036
8.8496,0.037
8.9286,0.038
9.0090,0.037
9.0909,0.035
9.1743,0.033
9.2593,0.032
9.3458,0.031
9.4340,0.030
9.5238,0.029
9.6154,0.028
9.7087,0.028
9.8039,0.028
9.9010,0.029
10.0000,0.030
10.1010,0.029
10.2041,0.027
10.3093,0.027
10.4167,0.027
10.5263,0.027
10.6383,0.026
10.7527,0.026
10.8696,0.026
10.9890,0.025
11.1111,0.025
11.2360,0.026
11.3636,0.026
11.4943,0.027
11.6279,0.029
11.7647,0.029
11.9048,0.030
12.0482,0.030
12.1951,0.031
12.3457,0.032
12.5000,0.033
12.6582,0.033
12.8205,0.032
12.9870,0.030
13.1579,0.027
13.3333,0.027
13.5135,0.028
13.6986,0.031
13.8889,0.040
14.0845,0.054
