,Wavelength,n,k
0,7.0,4.299,42.15613
1,7.1,4.401,42.72373
2,7.2,4.496,43.28505
3,7.3,4.592,43.95295
4,7.4,4.688,44.4138
5,7.5,4.785,44.98021
6,7.6,4.886,45.54105
7,7.7,4.987,46.0933
8,7.8,5.08,46.64473
9,7.9,5.171,47.20076
10,8.0,5.264,47.758
11,8.1,5.362,48.31489
12,8.2,5.46,48.86513
13,8.3,5.553,49.41597
14,8.4,5.649,49.96826
15,8.5,5.744,50.51893
16,8.6,5.84,51.06999
17,8.7,5.937,51.62067
18,8.8,6.034,52.17017
19,8.9,6.133,52.71818
20,9.0,6.231,53.26668
21,9.1,6.33,53.81375
22,9.2,6.431,54.3605
23,9.3,6.531,54.90268
24,9.4,6.632,55.46521
25,9.5,6.733,56.00281
26,9.6,6.84,56.54059
27,9.7,6.948,57.08228
28,9.8,7.056,57.61909
29,9.9,7.159,58.15562
30,10.0,7.264,58.695
31,10.1,7.374,59.23263
32,10.2,7.484,59.76913
33,10.3,7.599,60.29974
34,10.4,7.71,60.82973
35,10.5,7.826,61.35613
36,10.6,7.937,61.87988
37,10.7,8.052,62.40149
38,10.8,8.166,62.91952
39,10.9,8.277,63.43424
40,11.0,8.388,63.94742
41,11.100000000000001,8.495,64.46011
42,11.2,8.603,64.97251
43,11.3,8.711,65.48495
44,11.4,8.819,65.99532
45,11.5,8.928,66.50292
46,11.600000000000001,9.037,67.01001
47,11.7,9.147,67.51377
48,11.8,9.254,68.01467
49,11.9,9.358,68.51498
50,12.0,9.463,69.01568
51,12.100000000000001,9.568,69.51612
52,12.2,9.674,70.01432
53,12.3,9.784,70.50801
54,12.4,9.892,70.99687
55,12.5,9.995,71.482
56,12.600000000000001,10.095,71.96524
57,12.7,10.192,72.44751
58,12.8,10.286,72.92928
59,12.9,10.377,73.41071
60,13.0,10.466,73.89143
61,13.100000000000001,10.554,74.37154
62,13.2,10.638,74.85298
63,13.3,10.721,75.33662
64,13.4,10.803,75.82147
65,13.5,10.887,76.30578
66,13.600000000000001,10.971,76.78781
67,13.7,11.053,77.26874
68,13.8,11.132,77.75017
69,13.9,11.211,78.23136
70,14.0,11.29,78.71153
