wl,k
6.9930,0.031
7.0423,0.030
7.0922,0.030
7.1429,0.030
7.1942,0.030
7.2464,0.030
7.2993,0.030
7.3529,0.029
7.4074,0.029
7.4627,0.030
7.5188,0.031
7.5758,0.031
7.6336,0.031
7.6923,0.032
7.7519,0.033
7.8125,0.034
7.8740,0.035
7.9365,0.035
8.0000,0.036
8.0645,0.036
8.1301,0.037
8.1967,0.038
8.2645,0.039
8.3333,0.039
8.4034,0.040
8.4746,0.041
8.5470,0.042
8.6207,0.043
8.6957,0.044
8.7719,0.044
8.8496,0.044
8.9286,0.044
9.0090,0.044
9.0909,0.045
9.1743,0.046
9.2593,0.047
9.3458,0.048
9.4340,0.050
9.5238,0.052
9.6154,0.054
9.7087,0.055
9.8039,0.055
9.9010,0.055
10.0000,0.056
10.1010,0.057
10.2041,0.058
10.3093,0.060
10.4167,0.064
10.5263,0.066
10.6383,0.069
10.7527,0.072
10.8696,0.076
10.9890,0.079
11.1111,0.078
11.2360,0.077
11.3636,0.076
11.4943,0.077
11.6279,0.080
11.7647,0.081
11.9048,0.083
12.0482,0.085
12.1951,0.088
12.3457,0.093
12.5000,0.097
12.6582,0.102
12.8205,0.106
12.9870,0.111
13.1579,0.119
13.3333,0.132
13.5135,0.147
13.6986,0.167
13.8889,0.192
14.0845,0.221
