wl,n
6.9930,2.488
7.0423,2.485
7.0922,2.481
7.1429,2.477
7.1942,2.474
7.2464,2.469
7.2993,2.466
7.3529,2.462
7.4074,2.457
7.4627,2.452
7.5188,2.447
7.5758,2.443
7.6336,2.438
7.6923,2.433
7.7519,2.428
7.8125,2.423
7.8740,2.418
7.9365,2.414
8.0000,2.409
8.0645,2.404
8.1301,2.398
8.1967,2.392
8.2645,2.386
8.3333,2.381
8.4034,2.375
8.4746,2.369
8.5470,2.363
8.6207,2.356
8.6957,2.349
8.7719,2.344
8.8496,2.337
8.9286,2.329
9.0090,2.321
9.0909,2.312
9.1743,2.303
9.2593,2.294
9.3458,2.284
9.4340,2.275
9.5238,2.265
9.6154,2.256
9.7087,2.246
9.8039,2.236
9.9010,2.224
10.0000,2.212
10.1010,2.199
10.2041,2.185
10.3093,2.170
10.4167,2.155
10.5263,2.141
10.6383,2.126
10.7527,2.110
10.8696,2.095
10.9890,2.081
11.1111,2.065
11.2360,2.045
11.3636,2.023
11.4943,1.999
11.6279,1.974
11.7647,1.949
11.9048,1.921
12.0482,1.891
12.1951,1.857
12.3457,1.823
12.5000,1.786
12.6582,1.745
12.8205,1.702
12.9870,1.653
13.1579,1.597
13.3333,1.536
13.5135,1.471
13.6986,1.399
13.8889,1.322
14.0845,1.238
