,Wavelength,n,k
0,7.0,4.17,0.00498
1,7.1,4.17,0.00498
2,7.2,4.17,0.00498
3,7.3,4.169,0.00498
4,7.4,4.169,0.00498
5,7.5,4.169,0.00498
6,7.6,4.168,0.00498
7,7.7,4.168,0.00498
8,7.8,4.168,0.00498
9,7.9,4.168,0.00498
10,8.0,4.167,0.00498
11,8.1,4.167,0.00498
12,8.2,4.167,0.00498
13,8.3,4.167,0.00498
14,8.4,4.167,0.00498
15,8.5,4.166,0.00498
16,8.6,4.166,0.00498
17,8.7,4.166,0.00498
18,8.8,4.166,0.00498
19,8.9,4.166,0.00498
20,9.0,4.166,0.00498
21,9.1,4.165,0.00498
22,9.2,4.165,0.00498
23,9.3,4.165,0.00498
24,9.4,4.165,0.00498
25,9.5,4.165,0.00498
26,9.6,4.165,0.00498
27,9.7,4.165,0.00498
28,9.8,4.164,0.00498
29,9.9,4.164,0.00498
30,10.0,4.164,0.00498
31,10.1,4.164,0.00498
32,10.2,4.164,0.00498
33,10.3,4.164,0.00498
34,10.4,4.164,0.00498
35,10.5,4.164,0.00498
36,10.6,4.164,0.00498
37,10.7,4.163,0.00498
38,10.8,4.163,0.00498
39,10.9,4.163,0.00498
40,11.0,4.163,0.00498
41,11.100000000000001,4.163,0.00498
42,11.2,4.163,0.00498
43,11.3,4.163,0.00498
44,11.4,4.163,0.00498
45,11.5,4.163,0.00498
46,11.600000000000001,4.163,0.00498
47,11.7,4.163,0.00498
48,11.8,4.162,0.00498
49,11.9,4.162,0.00498
50,12.0,4.162,0.00498
51,12.100000000000001,4.162,0.00498
52,12.2,4.162,0.00498
53,12.3,4.162,0.00498
54,12.4,4.162,0.00498
55,12.5,4.162,0.00498
56,12.600000000000001,4.162,0.00498
57,12.7,4.162,0.00498
58,12.8,4.162,0.00498
59,12.9,4.162,0.00498
60,13.0,4.162,0.00498
61,13.100000000000001,4.162,0.00498
62,13.2,4.162,0.00498
63,13.3,4.162,0.00498
64,13.4,4.162,0.00498
65,13.5,4.161,0.00498
66,13.600000000000001,4.161,0.00498
67,13.7,4.161,0.00498
68,13.8,4.161,0.00498
69,13.9,4.161,0.00498
70,14.0,4.161,0.00498
