wl,k
6.9875e+00,7.7726e-03
7.0378e+00,7.9676e-03
7.0885e+00,8.1680e-03
7.1395e+00,8.3739e-03
7.1910e+00,8.5855e-03
7.2428e+00,8.8030e-03
7.2949e+00,9.0265e-03
7.3475e+00,9.2564e-03
7.4004e+00,9.4927e-03
7.4537e+00,9.7357e-03
7.5074e+00,9.9856e-03
7.5615e+00,1.0243e-02
7.6159e+00,1.0507e-02
7.6708e+00,1.0779e-02
7.7261e+00,1.1059e-02
7.7817e+00,1.1347e-02
7.8378e+00,1.1643e-02
7.8942e+00,1.1948e-02
7.9511e+00,1.2263e-02
8.0084e+00,1.2586e-02
8.0660e+00,1.2919e-02
8.1241e+00,1.3262e-02
8.1827e+00,1.3616e-02
8.2416e+00,1.3980e-02
8.3010e+00,1.4355e-02
8.3608e+00,1.4741e-02
8.4210e+00,1.5140e-02
8.4816e+00,1.5551e-02
8.5427e+00,1.5975e-02
8.6043e+00,1.6412e-02
8.6662e+00,1.6863e-02
8.7287e+00,1.7328e-02
8.7915e+00,1.7808e-02
8.8549e+00,1.8304e-02
8.9186e+00,1.8815e-02
8.9829e+00,1.9344e-02
9.0476e+00,1.9890e-02
9.1128e+00,2.0454e-02
9.1784e+00,2.1036e-02
9.2445e+00,2.1639e-02
9.3111e+00,2.2262e-02
9.3782e+00,2.2906e-02
9.4457e+00,2.3572e-02
9.5138e+00,2.4262e-02
9.5823e+00,2.4976e-02
9.6513e+00,2.5715e-02
9.7208e+00,2.6481e-02
9.7909e+00,2.7274e-02
9.8614e+00,2.8096e-02
9.9324e+00,2.8949e-02
1.0004e+01,2.9833e-02
1.0076e+01,3.0750e-02
1.0149e+01,3.1703e-02
1.0222e+01,3.2691e-02
1.0295e+01,3.3719e-02
1.0369e+01,3.4786e-02
1.0444e+01,3.5896e-02
1.0519e+01,3.7051e-02
1.0595e+01,3.8252e-02
1.0672e+01,3.9504e-02
1.0748e+01,4.0807e-02
1.0826e+01,4.2166e-02
1.0904e+01,4.3583e-02
1.0982e+01,4.5062e-02
1.1061e+01,4.6606e-02
1.1141e+01,4.8220e-02
1.1221e+01,4.9907e-02
1.1302e+01,5.1673e-02
1.1384e+01,5.3522e-02
1.1466e+01,5.5459e-02
1.1548e+01,5.7492e-02
1.1631e+01,5.9625e-02
1.1715e+01,6.1867e-02
1.1800e+01,6.4224e-02
1.1885e+01,6.6707e-02
1.1970e+01,6.9323e-02
1.2056e+01,7.2084e-02
1.2143e+01,7.5000e-02
1.2231e+01,7.8085e-02
1.2319e+01,8.1353e-02
1.2407e+01,8.4820e-02
1.2497e+01,8.8504e-02
1.2587e+01,9.2425e-02
1.2678e+01,9.6605e-02
1.2769e+01,1.0107e-01
1.2861e+01,1.0585e-01
1.2953e+01,1.1098e-01
1.3047e+01,1.1650e-01
1.3141e+01,1.2245e-01
1.3235e+01,1.2888e-01
1.3331e+01,1.3586e-01
1.3427e+01,1.4346e-01
1.3523e+01,1.5176e-01
1.3621e+01,1.6087e-01
1.3719e+01,1.7091e-01
1.3818e+01,1.8203e-01
1.3917e+01,1.9440e-01
1.4018e+01,2.0826e-01
