wl,n
6.9875e+00,1.8024e+00
7.0378e+00,1.7999e+00
7.0885e+00,1.7974e+00
7.1395e+00,1.7948e+00
7.1910e+00,1.7922e+00
7.2428e+00,1.7895e+00
7.2949e+00,1.7868e+00
7.3475e+00,1.7840e+00
7.4004e+00,1.7812e+00
7.4537e+00,1.7783e+00
7.5074e+00,1.7754e+00
7.5615e+00,1.7724e+00
7.6159e+00,1.7693e+00
7.6708e+00,1.7662e+00
7.7261e+00,1.7631e+00
7.7817e+00,1.7598e+00
7.8378e+00,1.7566e+00
7.8942e+00,1.7532e+00
7.9511e+00,1.7498e+00
8.0084e+00,1.7463e+00
8.0660e+00,1.7428e+00
8.1241e+00,1.7392e+00
8.1827e+00,1.7355e+00
8.2416e+00,1.7318e+00
8.3010e+00,1.7280e+00
8.3608e+00,1.7241e+00
8.4210e+00,1.7201e+00
8.4816e+00,1.7160e+00
8.5427e+00,1.7119e+00
8.6043e+00,1.7077e+00
8.6662e+00,1.7034e+00
8.7287e+00,1.6990e+00
8.7915e+00,1.6945e+00
8.8549e+00,1.6899e+00
8.9186e+00,1.6852e+00
8.9829e+00,1.6804e+00
9.0476e+00,1.6756e+00
9.1128e+00,1.6706e+00
9.1784e+00,1.6655e+00
9.2445e+00,1.6603e+00
9.3111e+00,1.6550e+00
9.3782e+00,1.6496e+00
9.4457e+00,1.6440e+00
9.5138e+00,1.6384e+00
9.5823e+00,1.6326e+00
9.6513e+00,1.6267e+00
9.7208e+00,1.6206e+00
9.7909e+00,1.6144e+00
9.8614e+00,1.6081e+00
9.9324e+00,1.6016e+00
1.0004e+01,1.5950e+00
1.0076e+01,1.5882e+00
1.0149e+01,1.5812e+00
1.0222e+01,1.5741e+00
1.0295e+01,1.5668e+00
1.0369e+01,1.5593e+00
1.0444e+01,1.5517e+00
1.0519e+01,1.5438e+00
1.0595e+01,1.5358e+00
1.0672e+01,1.5275e+00
1.0748e+01,1.5191e+00
1.0826e+01,1.5104e+00
1.0904e+01,1.5014e+00
1.0982e+01,1.4923e+00
1.1061e+01,1.4829e+00
1.1141e+01,1.4732e+00
1.1221e+01,1.4633e+00
1.1302e+01,1.4531e+00
1.1384e+01,1.4426e+00
1.1466e+01,1.4317e+00
1.1548e+01,1.4206e+00
1.1631e+01,1.4092e+00
1.1715e+01,1.3974e+00
1.1800e+01,1.3852e+00
1.1885e+01,1.3727e+00
1.1970e+01,1.3597e+00
1.2056e+01,1.3464e+00
1.2143e+01,1.3326e+00
1.2231e+01,1.3183e+00
1.2319e+01,1.3036e+00
1.2407e+01,1.2883e+00
1.2497e+01,1.2725e+00
1.2587e+01,1.2562e+00
1.2678e+01,1.2392e+00
1.2769e+01,1.2216e+00
1.2861e+01,1.2033e+00
1.2953e+01,1.1843e+00
1.3047e+01,1.1645e+00
1.3141e+01,1.1440e+00
1.3235e+01,1.1225e+00
1.3331e+01,1.1001e+00
1.3427e+01,1.0767e+00
1.3523e+01,1.0523e+00
1.3621e+01,1.0267e+00
1.3719e+01,9.9993e-01
1.3818e+01,9.7183e-01
1.3917e+01,9.4235e-01
1.4018e+01,9.1140e-01
