,Wavelength,n,k
0,7.0,6.322,25.55787
1,7.1,6.406,25.90707
2,7.2,6.49,26.25537
3,7.3,6.574,26.60269
4,7.4,6.657,26.94895
5,7.5,6.739,27.29407
6,7.6,6.819,27.63798
7,7.7,6.898,27.98061
8,7.8,6.975,28.32187
9,7.9,7.049,28.66169
10,8.0,7.12,29.0
11,8.1,7.188,29.33676
12,8.2,7.254,29.67213
13,8.3,7.317,30.00632
14,8.4,7.378,30.33951
15,8.5,7.438,30.67192
16,8.6,7.496,31.00374
17,8.7,7.554,31.33517
18,8.8,7.611,31.66642
19,8.9,7.669,31.99768
20,9.0,7.726,32.32916
21,9.1,7.785,32.66105
22,9.2,7.845,32.99356
23,9.3,7.907,33.3269
24,9.4,7.971,33.66125
25,9.5,8.037,33.99682
26,9.6,8.106,34.33381
27,9.7,8.179,34.67242
28,9.8,8.255,35.01286
29,9.9,8.335,35.35532
30,10.0,8.42,35.7
31,10.1,8.51,36.04696
32,10.2,8.604,36.39567
33,10.3,8.701,36.74543
34,10.4,8.802,37.09558
35,10.5,8.906,37.44542
36,10.6,9.011,37.79429
37,10.7,9.118,38.14148
38,10.8,9.226,38.48634
39,10.9,9.335,38.82816
40,11.0,9.443,39.16628
41,11.100000000000001,9.55,39.5
42,11.2,9.656,39.82882
43,11.3,9.761,40.15292
44,11.4,9.864,40.47264
45,11.5,9.967,40.78834
46,11.600000000000001,10.07,41.10034
47,11.7,10.172,41.40902
48,11.8,10.274,41.7147
49,11.9,10.376,42.01775
50,12.0,10.478,42.3185
51,12.100000000000001,10.58,42.6173
52,12.2,10.684,42.9145
53,12.3,10.788,43.21046
54,12.4,10.893,43.50551
55,12.5,11.0,43.8
56,12.600000000000001,11.108,44.09421
57,12.7,11.218,44.38815
58,12.8,11.328,44.68175
59,12.9,11.44,44.97494
60,13.0,11.552,45.26766
61,13.100000000000001,11.665,45.55984
62,13.2,11.778,45.85141
63,13.3,11.892,46.14232
64,13.4,12.005,46.43248
65,13.5,12.119,46.72185
66,13.600000000000001,12.232,47.01035
67,13.7,12.345,47.29791
68,13.8,12.457,47.58448
69,13.9,12.568,47.86997
70,14.0,12.678,48.15434
