,Wavelength,n,k
0,7.0,2.938,0.06934
1,7.1,2.931,0.07284
2,7.2,2.924,0.07676
3,7.3,2.917,0.0811
4,7.4,2.91,0.08587
5,7.5,2.903,0.09105
6,7.6,2.895,0.09665
7,7.7,2.888,0.10266
8,7.8,2.88,0.10908
9,7.9,2.872,0.11591
10,8.0,2.864,0.12315
11,8.1,2.855,0.1308
12,8.2,2.847,0.1389
13,8.3,2.838,0.14752
14,8.4,2.83,0.15668
15,8.5,2.821,0.16645
16,8.6,2.813,0.17683
17,8.7,2.804,0.18787
18,8.8,2.795,0.19958
19,8.9,2.786,0.21199
20,9.0,2.778,0.22513
21,9.1,2.769,0.23905
22,9.2,2.761,0.25377
23,9.3,2.753,0.26931
24,9.4,2.746,0.28569
25,9.5,2.738,0.30297
26,9.6,2.731,0.32122
27,9.7,2.724,0.34055
28,9.8,2.718,0.36101
29,9.9,2.713,0.38246
30,10.0,2.709,0.40474
31,10.1,2.706,0.42773
32,10.2,2.704,0.45144
33,10.3,2.703,0.47592
34,10.4,2.703,0.50121
35,10.5,2.704,0.52735
36,10.6,2.706,0.55435
37,10.7,2.71,0.58219
38,10.8,2.716,0.61082
39,10.9,2.724,0.63993
40,11.0,2.733,0.669
41,11.100000000000001,2.745,0.69762
42,11.2,2.758,0.72578
43,11.3,2.774,0.75356
44,11.4,2.791,0.78104
45,11.5,2.81,0.80817
46,11.600000000000001,2.831,0.83463
47,11.7,2.854,0.86005
48,11.8,2.88,0.88409
49,11.9,2.907,0.90643
50,12.0,2.935,0.92675
51,12.100000000000001,2.964,0.94484
52,12.2,2.993,0.96084
53,12.3,3.022,0.97499
54,12.4,3.052,0.98754
55,12.5,3.084,0.99872
56,12.600000000000001,3.117,1.00869
57,12.7,3.151,1.01689
58,12.8,3.186,1.02241
59,12.9,3.221,1.02479
60,13.0,3.255,1.02464
61,13.100000000000001,3.288,1.02261
62,13.2,3.32,1.01885
63,13.3,3.351,1.01335
64,13.4,3.381,1.00614
65,13.5,3.411,0.99727
66,13.600000000000001,3.44,0.98684
67,13.7,3.467,0.97492
68,13.8,3.492,0.96162
69,13.9,3.516,0.94702
70,14.0,3.537,0.93122
