,Wavelength,n,k
0,7.0,2.109,0.12714
1,7.1,2.099,0.13873
2,7.2,2.089,0.15041
3,7.3,2.079,0.16198
4,7.4,2.07,0.17325
5,7.5,2.06,0.18411
6,7.6,2.05,0.19453
7,7.7,2.04,0.20458
8,7.8,2.028,0.21443
9,7.9,2.015,0.22428
10,8.0,2.001,0.23429
11,8.1,1.986,0.24464
12,8.2,1.969,0.25541
13,8.3,1.95,0.26678
14,8.4,1.929,0.27896
15,8.5,1.906,0.29233
16,8.6,1.88,0.3075
17,8.7,1.85,0.32526
18,8.8,1.818,0.34664
19,8.9,1.782,0.37286
20,9.0,1.743,0.40531
21,9.1,1.702,0.44554
22,9.2,1.661,0.49507
23,9.3,1.622,0.55518
24,9.4,1.588,0.62632
25,9.5,1.563,0.70768
26,9.6,1.55,0.79677
27,9.7,1.55,0.88976
28,9.8,1.564,0.98243
29,9.9,1.591,1.07124
30,10.0,1.627,1.15405
31,10.1,1.67,1.23034
32,10.2,1.717,1.3008
33,10.3,1.767,1.36671
34,10.4,1.82,1.42926
35,10.5,1.878,1.48907
36,10.6,1.94,1.54581
37,10.7,2.008,1.59831
38,10.8,2.082,1.64481
39,10.9,2.16,1.6836
40,11.0,2.241,1.71351
41,11.100000000000001,2.323,1.73438
42,11.2,2.402,1.74709
43,11.3,2.478,1.75328
44,11.4,2.55,1.75495
45,11.5,2.618,1.75393
46,11.600000000000001,2.684,1.75138
47,11.7,2.75,1.74759
48,11.8,2.816,1.74173
49,11.9,2.883,1.73212
50,12.0,2.951,1.71691
51,12.100000000000001,3.016,1.69523
52,12.2,3.078,1.66786
53,12.3,3.133,1.63688
54,12.4,3.183,1.60459
55,12.5,3.229,1.57254
56,12.600000000000001,3.271,1.54129
57,12.7,3.312,1.51058
58,12.8,3.352,1.47974
59,12.9,3.391,1.44807
60,13.0,3.429,1.41494
61,13.100000000000001,3.465,1.37996
62,13.2,3.499,1.34303
63,13.3,3.531,1.30429
64,13.4,3.56,1.26413
65,13.5,3.585,1.22305
66,13.600000000000001,3.607,1.18164
67,13.7,3.626,1.14045
68,13.8,3.642,1.1
69,13.9,3.654,1.06067
70,14.0,3.665,1.02271
