wl,k
6.98324,0.00420
7.00280,0.00432
7.02247,0.00444
7.04225,0.00457
7.06215,0.00471
7.08215,0.00486
7.10227,0.00502
7.12251,0.00520
7.14286,0.00538
7.16332,0.00558
7.18391,0.00580
7.20461,0.00603
7.22543,0.00629
7.24638,0.00657
7.26744,0.00688
7.28863,0.00722
7.30994,0.00759
7.33138,0.00800
7.35294,0.00846
7.37463,0.00898
7.39645,0.00956
7.41840,0.01022
7.44048,0.01096
7.46269,0.01181
7.48503,0.01278
7.50751,0.01390
7.53012,0.01520
7.55287,0.01672
7.57576,0.01849
7.59878,0.02058
7.62195,0.02307
7.64526,0.02603
7.66871,0.02959
7.69231,0.03388
7.71605,0.03908
7.73994,0.04543
7.76398,0.05319
7.78816,0.06272
7.81250,0.07443
7.83699,0.08881
7.86164,0.10639
7.88644,0.12770
7.91139,0.15315
7.93651,0.18289
7.96178,0.21658
7.98722,0.25340
8.01282,0.29212
8.03859,0.33153
8.06452,0.37072
8.09061,0.40924
8.11688,0.44699
8.14332,0.48403
8.16993,0.52033
8.19672,0.55563
8.22368,0.58946
8.25083,0.62120
8.27815,0.65024
8.30565,0.67628
8.33333,0.69945
8.36120,0.72038
8.38926,0.74006
8.41751,0.75958
8.44595,0.77980
8.47458,0.80107
8.50340,0.82306
8.53242,0.84504
8.56164,0.86671
8.59107,0.88913
8.62069,0.91466
8.65052,0.94547
8.68056,0.98260
8.71080,1.02616
8.74126,1.07603
8.77193,1.13242
8.80282,1.19597
8.83392,1.26754
8.86525,1.34784
8.89680,1.43703
8.92857,1.53432
8.96057,1.63780
8.99281,1.74424
9.02527,1.84907
9.05797,1.94684
9.09091,2.03267
9.12409,2.10448
9.15751,2.16419
9.19118,2.21577
9.22509,2.26057
9.25926,2.29387
9.29368,2.30736
9.32836,2.29703
9.36330,2.26706
9.39850,2.22350
9.43396,2.16431
9.46970,2.08460
9.50570,1.99475
9.54198,1.89944
9.57854,1.78965
9.61538,1.66503
9.65251,1.53603
9.68992,1.41089
9.72763,1.28965
9.76563,1.16820
9.80392,1.04494
9.84252,0.92326
9.88142,0.80887
9.92063,0.70568
9.96016,0.61411
10.00000,0.53217
10.04016,0.45759
10.08065,0.38927
10.12146,0.32737
10.16260,0.27266
10.20408,0.22569
10.24590,0.18645
10.28807,0.15438
10.33058,0.12857
10.37344,0.10802
10.41667,0.09175
10.46025,0.07893
10.50420,0.06886
10.54852,0.06100
10.59322,0.05492
10.63830,0.05029
10.68376,0.04686
10.72961,0.04446
10.77586,0.04296
10.82251,0.04228
10.86957,0.04236
10.91703,0.04317
10.96491,0.04471
11.01322,0.04696
11.06195,0.04995
11.11111,0.05366
11.16071,0.05809
11.21076,0.06320
11.26126,0.06894
11.31222,0.07525
11.36364,0.08204
11.41553,0.08924
11.46789,0.09678
11.52074,0.10464
11.57407,0.11281
11.62791,0.12133
11.68224,0.13019
11.73709,0.13940
11.79245,0.14885
11.84834,0.15839
11.90476,0.16778
11.96172,0.17672
12.01923,0.18498
12.07729,0.19237
12.13592,0.19887
12.19512,0.20453
12.25490,0.20949
12.31527,0.21381
12.37624,0.21746
12.43781,0.22019
12.50000,0.22171
12.56281,0.22183
12.62626,0.22064
12.69036,0.21842
12.75510,0.21548
12.82051,0.21195
12.88660,0.20780
12.95337,0.20292
13.02083,0.19719
13.08901,0.19056
13.15789,0.18315
13.22751,0.17513
13.29787,0.16676
13.36898,0.15829
13.44086,0.14989
13.51351,0.14169
13.58696,0.13369
13.66120,0.12588
13.73626,0.11821
13.81215,0.11065
13.88889,0.10319
13.96648,0.09586
14.04494,0.08873
