wl,n
6.98324,1.11858
7.00280,1.11384
7.02247,1.10896
7.04225,1.10394
7.06215,1.09877
7.08215,1.09343
7.10227,1.08793
7.12251,1.08225
7.14286,1.07639
7.16332,1.07032
7.18391,1.06406
7.20461,1.05757
7.22543,1.05085
7.24638,1.04388
7.26744,1.03665
7.28863,1.02913
7.30994,1.02132
7.33138,1.01319
7.35294,1.00472
7.37463,0.99589
7.39645,0.98666
7.41840,0.97700
7.44048,0.96689
7.46269,0.95629
7.48503,0.94515
7.50751,0.93343
7.53012,0.92108
7.55287,0.90804
7.57576,0.89424
7.59878,0.87963
7.62195,0.86413
7.64526,0.84764
7.66871,0.83010
7.69231,0.81140
7.71605,0.79147
7.73994,0.77021
7.76398,0.74758
7.78816,0.72356
7.81250,0.69819
7.83699,0.67163
7.86164,0.64421
7.88644,0.61646
7.91139,0.58921
7.93651,0.56351
7.96178,0.54054
7.98722,0.52132
8.01282,0.50638
8.03859,0.49564
8.06452,0.48860
8.09061,0.48459
8.11688,0.48309
8.14332,0.48386
8.16993,0.48688
8.19672,0.49223
8.22368,0.49989
8.25083,0.50958
8.27815,0.52066
8.30565,0.53216
8.33333,0.54295
8.36120,0.55206
8.38926,0.55888
8.41751,0.56333
8.44595,0.56586
8.47458,0.56717
8.50340,0.56782
8.53242,0.56761
8.56164,0.56528
8.59107,0.55926
8.62069,0.54901
8.65052,0.53562
8.68056,0.52092
8.71080,0.50643
8.74126,0.49305
8.77193,0.48134
8.80282,0.47204
8.83392,0.46639
8.86525,0.46637
8.89680,0.47462
8.92857,0.49418
8.96057,0.52817
8.99281,0.57931
9.02527,0.64924
9.05797,0.73752
9.09091,0.84093
9.12409,0.95412
9.15751,1.07250
9.19118,1.19557
9.22509,1.32733
9.25926,1.47188
9.29368,1.62714
9.32836,1.78426
9.36330,1.93544
9.39850,2.08084
9.43396,2.22394
9.46970,2.35725
9.50570,2.47376
9.54198,2.58280
9.57854,2.68488
9.61538,2.76898
9.65251,2.83031
9.68992,2.87413
9.72763,2.90744
9.76563,2.93182
9.80392,2.94379
9.84252,2.93983
9.88142,2.92035
9.92063,2.88951
9.96016,2.85225
10.00000,2.81180
10.04016,2.76904
10.08065,2.72354
10.12146,2.67490
10.16260,2.62348
10.20408,2.57040
10.24590,2.51707
10.28807,2.46479
10.33058,2.41454
10.37344,2.36687
10.41667,2.32206
10.46025,2.28013
10.50420,2.24098
10.54852,2.20442
10.59322,2.17023
10.63830,2.13818
10.68376,2.10805
10.72961,2.07964
10.77586,2.05275
10.82251,2.02724
10.86957,2.00296
10.91703,1.97980
10.96491,1.95769
11.01322,1.93656
11.06195,1.91640
11.11111,1.89719
11.16071,1.87896
11.21076,1.86174
11.26126,1.84556
11.31222,1.83045
11.36364,1.81640
11.41553,1.80341
11.46789,1.79143
11.52074,1.78044
11.57407,1.77039
11.62791,1.76132
11.68224,1.75327
11.73709,1.74636
11.79245,1.74074
11.84834,1.73652
11.90476,1.73378
11.96172,1.73248
12.01923,1.73247
12.07729,1.73352
12.13592,1.73537
12.19512,1.73783
12.25490,1.74082
12.31527,1.74439
12.37624,1.74866
12.43781,1.75367
12.50000,1.75930
12.56281,1.76517
12.62626,1.77085
12.69036,1.77610
12.75510,1.78091
12.82051,1.78543
12.88660,1.78975
12.95337,1.79390
13.02083,1.79774
13.08901,1.80107
13.15789,1.80364
13.22751,1.80528
13.29787,1.80591
13.36898,1.80555
13.44086,1.80433
13.51351,1.80239
13.58696,1.79987
13.66120,1.79685
13.73626,1.79339
13.81215,1.78948
13.88889,1.78507
13.96648,1.78013
14.04494,1.77462
