,Wavelength,n,k
0,7.0,3.47,0.0
1,7.1,3.47,0.0
2,7.2,3.47,0.0
3,7.3,3.47,0.0
4,7.4,3.47,0.0
5,7.5,3.47,0.0
6,7.6,3.47,1e-05
7,7.7,3.47,1e-05
8,7.8,3.47,1e-05
9,7.9,3.47,1e-05
10,8.0,3.47,1e-05
11,8.1,3.47,1e-05
12,8.2,3.47,1e-05
13,8.3,3.47,1e-05
14,8.4,3.47,1e-05
15,8.5,3.47,1e-05
16,8.6,3.47,2e-05
17,8.7,3.47,2e-05
18,8.8,3.47,4e-05
19,8.9,3.47,7e-05
20,9.0,3.47,0.00017
21,9.1,3.47,0.00015
22,9.2,3.47,7e-05
23,9.3,3.47,4e-05
24,9.4,3.47,3e-05
25,9.5,3.47,3e-05
26,9.6,3.47,3e-05
27,9.7,3.47,3e-05
28,9.8,3.47,3e-05
29,9.9,3.47,4e-05
30,10.0,3.47,4e-05
31,10.1,3.47,4e-05
32,10.2,3.47,5e-05
33,10.3,3.47,6e-05
34,10.4,3.47,7e-05
35,10.5,3.47,8e-05
36,10.6,3.47,9e-05
37,10.7,3.47,0.00011
38,10.8,3.47,0.00013
39,10.9,3.47,0.00015
40,11.0,3.47,0.00017
41,11.100000000000001,3.47,0.00018
42,11.2,3.47,0.00019
43,11.3,3.47,0.0002
44,11.4,3.47,0.00019
45,11.5,3.47,0.00018
46,11.600000000000001,3.47,0.00016
47,11.7,3.47,0.00015
48,11.8,3.47,0.00013
49,11.9,3.47,0.00012
50,12.0,3.47,0.00011
51,12.100000000000001,3.47,0.00011
52,12.2,3.47,0.0001
53,12.3,3.47,0.0001
54,12.4,3.47,0.0001
55,12.5,3.47,0.0001
56,12.600000000000001,3.47,0.00011
57,12.7,3.47,0.00012
58,12.8,3.47,0.00013
59,12.9,3.47,0.00015
60,13.0,3.47,0.00017
61,13.100000000000001,3.47,0.00021
62,13.2,3.47,0.00025
63,13.3,3.47,0.00028
64,13.4,3.47,0.0003
65,13.5,3.47,0.00029
66,13.600000000000001,3.47,0.00026
67,13.7,3.47,0.00023
68,13.8,3.47,0.0002
69,13.9,3.47,0.00018
70,14.0,3.47,0.00017
