,Wavelength,n,k
0,7.0,14.232,21.88781
1,7.1,14.409,22.03461
2,7.2,14.584,22.17972
3,7.3,14.758,22.32329
4,7.4,14.93,22.46534
5,7.5,15.1,22.60599
6,7.6,15.269,22.74519
7,7.7,15.437,22.88303
8,7.8,15.603,23.01953
9,7.9,15.768,23.15478
10,8.0,15.931,23.28877
11,8.1,16.093,23.42154
12,8.2,16.254,23.55314
13,8.3,16.414,23.68364
14,8.4,16.572,23.81294
15,8.5,16.729,23.94118
16,8.6,16.884,24.06847
17,8.7,17.039,24.19461
18,8.8,17.192,24.31985
19,8.9,17.345,24.44409
20,9.0,17.496,24.56732
21,9.1,17.646,24.68977
22,9.2,17.794,24.81124
23,9.3,17.942,24.93187
24,9.4,18.089,25.05158
25,9.5,18.235,25.17058
26,9.6,18.379,25.28867
27,9.7,18.523,25.40602
28,9.8,18.666,25.52253
29,9.9,18.808,25.63836
30,10.0,18.948,25.75341
31,10.1,19.088,25.86774
32,10.2,19.227,25.98139
33,10.3,19.365,26.09434
34,10.4,19.502,26.20663
35,10.5,19.639,26.31824
36,10.6,19.774,26.42916
37,10.7,19.909,26.53948
38,10.8,20.043,26.6492
39,10.9,20.176,26.75834
40,11.0,20.308,26.86686
41,11.100000000000001,20.439,26.97474
42,11.2,20.57,27.08207
43,11.3,20.7,27.1889
44,11.4,20.829,27.29517
45,11.5,20.957,27.40084
46,11.600000000000001,21.085,27.50604
47,11.7,21.212,27.6107
48,11.8,21.338,27.71481
49,11.9,21.464,27.81844
50,12.0,21.588,27.92157
51,12.100000000000001,21.713,28.02424
52,12.2,21.836,28.12646
53,12.3,21.959,28.22817
54,12.4,22.082,28.3294
55,12.5,22.203,28.43016
56,12.600000000000001,22.324,28.53048
57,12.7,22.445,28.63037
58,12.8,22.565,28.72985
59,12.9,22.684,28.82891
60,13.0,22.803,28.92747
61,13.100000000000001,22.921,29.02559
62,13.2,23.039,29.12335
63,13.3,23.156,29.2207
64,13.4,23.273,29.3176
65,13.5,23.389,29.41407
66,13.600000000000001,23.504,29.51013
67,13.7,23.619,29.60578
68,13.8,23.734,29.70104
69,13.9,23.848,29.79589
70,14.0,23.961,29.89034
