,Wavelength,n,k
0,7.0,2.024,0.01497
1,7.1,2.011,0.01612
2,7.2,1.996,0.01737
3,7.3,1.981,0.01871
4,7.4,1.966,0.02015
5,7.5,1.951,0.0217
6,7.6,1.935,0.02337
7,7.7,1.919,0.02517
8,7.8,1.902,0.02711
9,7.9,1.885,0.02918
10,8.0,1.867,0.03143
11,8.1,1.849,0.03384
12,8.2,1.83,0.03645
13,8.3,1.811,0.03925
14,8.4,1.792,0.04227
15,8.5,1.771,0.04553
16,8.6,1.751,0.04904
17,8.7,1.729,0.05283
18,8.8,1.707,0.05691
19,8.9,1.685,0.06133
20,9.0,1.661,0.0661
21,9.1,1.638,0.07126
22,9.2,1.613,0.07683
23,9.3,1.588,0.08287
24,9.4,1.562,0.08941
25,9.5,1.535,0.09651
26,9.6,1.507,0.1042
27,9.7,1.479,0.11256
28,9.8,1.449,0.12167
29,9.9,1.419,0.13158
30,10.0,1.388,0.14239
31,10.1,1.356,0.15421
32,10.2,1.323,0.16715
33,10.3,1.289,0.18132
34,10.4,1.254,0.19691
35,10.5,1.218,0.21407
36,10.6,1.181,0.23299
37,10.7,1.143,0.25391
38,10.8,1.105,0.27707
39,10.9,1.065,0.30273
40,11.0,1.026,0.33119
41,11.100000000000001,0.986,0.36272
42,11.2,0.946,0.39755
43,11.3,0.908,0.43587
44,11.4,0.87,0.47769
45,11.5,0.835,0.52289
46,11.600000000000001,0.803,0.57113
47,11.7,0.773,0.62189
48,11.8,0.748,0.6745
49,11.9,0.726,0.72828
50,12.0,0.707,0.7826
51,12.100000000000001,0.692,0.83689
52,12.2,0.68,0.89075
53,12.3,0.671,0.94388
54,12.4,0.665,0.99604
55,12.5,0.66,1.04716
56,12.600000000000001,0.658,1.09714
57,12.7,0.657,1.14596
58,12.8,0.657,1.19363
59,12.9,0.659,1.24016
60,13.0,0.662,1.2856
61,13.100000000000001,0.666,1.32996
62,13.2,0.67,1.37331
63,13.3,0.676,1.41567
64,13.4,0.682,1.45708
65,13.5,0.689,1.49759
66,13.600000000000001,0.696,1.53723
67,13.7,0.704,1.57604
68,13.8,0.712,1.61406
69,13.9,0.721,1.65131
70,14.0,0.73,1.68783
