wl,k
6.98324,0.01478
7.00280,0.01500
7.02247,0.01522
7.04225,0.01545
7.06215,0.01568
7.08215,0.01591
7.10227,0.01615
7.12251,0.01640
7.14286,0.01665
7.16332,0.01690
7.18391,0.01716
7.20461,0.01743
7.22543,0.01770
7.24638,0.01798
7.26744,0.01826
7.28863,0.01855
7.30994,0.01885
7.33138,0.01915
7.35294,0.01946
7.37463,0.01978
7.39645,0.02010
7.41840,0.02043
7.44048,0.02077
7.46269,0.02111
7.48503,0.02146
7.50751,0.02182
7.53012,0.02219
7.55287,0.02257
7.57576,0.02296
7.59878,0.02335
7.62195,0.02376
7.64526,0.02417
7.66871,0.02459
7.69231,0.02503
7.71605,0.02547
7.73994,0.02592
7.76398,0.02639
7.78816,0.02687
7.81250,0.02736
7.83699,0.02786
7.86164,0.02837
7.88644,0.02889
7.91139,0.02943
7.93651,0.02999
7.96178,0.03055
7.98722,0.03113
8.01282,0.03173
8.03859,0.03234
8.06452,0.03297
8.09061,0.03361
8.11688,0.03427
8.14332,0.03495
8.16993,0.03564
8.19672,0.03636
8.22368,0.03709
8.25083,0.03784
8.27815,0.03862
8.30565,0.03941
8.33333,0.04023
8.36120,0.04107
8.38926,0.04193
8.41751,0.04282
8.44595,0.04373
8.47458,0.04467
8.50340,0.04564
8.53242,0.04663
8.56164,0.04766
8.59107,0.04871
8.62069,0.04980
8.65052,0.05091
8.68056,0.05207
8.71080,0.05325
8.74126,0.05447
8.77193,0.05573
8.80282,0.05703
8.83392,0.05837
8.86525,0.05976
8.89680,0.06118
8.92857,0.06265
8.96057,0.06417
8.99281,0.06574
9.02527,0.06736
9.05797,0.06904
9.09091,0.07077
9.12409,0.07256
9.15751,0.07441
9.19118,0.07632
9.22509,0.07830
9.25926,0.08035
9.29368,0.08247
9.32836,0.08467
9.36330,0.08695
9.39850,0.08931
9.43396,0.09176
9.46970,0.09429
9.50570,0.09693
9.54198,0.09966
9.57854,0.10250
9.61538,0.10544
9.65251,0.10851
9.68992,0.11169
9.72763,0.11500
9.76563,0.11845
9.80392,0.12204
9.84252,0.12578
9.88142,0.12967
9.92063,0.13373
9.96016,0.13797
10.00000,0.14239
10.04016,0.14701
10.08065,0.15184
10.12146,0.15689
10.16260,0.16217
10.20408,0.16770
10.24590,0.17349
10.28807,0.17956
10.33058,0.18594
10.37344,0.19263
10.41667,0.19966
10.46025,0.20705
10.50420,0.21483
10.54852,0.22302
10.59322,0.23165
10.63830,0.24076
10.68376,0.25037
10.72961,0.26052
10.77586,0.27126
10.82251,0.28262
10.86957,0.29464
10.91703,0.30737
10.96491,0.32087
11.01322,0.33517
11.06195,0.35034
11.11111,0.36642
11.16071,0.38346
11.21076,0.40150
11.26126,0.42060
11.31222,0.44079
11.36364,0.46208
11.41553,0.48449
11.46789,0.50803
11.52074,0.53266
11.57407,0.55836
11.62791,0.58507
11.68224,0.61272
11.73709,0.64122
11.79245,0.67048
11.84834,0.70039
11.90476,0.73086
11.96172,0.76178
12.01923,0.79306
12.07729,0.82459
12.13592,0.85631
12.19512,0.88814
12.25490,0.92002
12.31527,0.95191
12.37624,0.98374
12.43781,1.01550
12.50000,1.04716
12.56281,1.07869
12.62626,1.11007
12.69036,1.14130
12.75510,1.17237
12.82051,1.20327
12.88660,1.23399
12.95337,1.26455
13.02083,1.29493
13.08901,1.32514
13.15789,1.35518
13.22751,1.38506
13.29787,1.41478
13.36898,1.44434
13.44086,1.47374
13.51351,1.50300
13.58696,1.53211
13.66120,1.56108
13.73626,1.58992
13.81215,1.61863
13.88889,1.64721
13.96648,1.67567
14.04494,1.70401
