wl,n
6.98324,2.02677
7.00280,2.02408
7.02247,2.02136
7.04225,2.01861
7.06215,2.01583
7.08215,2.01302
7.10227,2.01018
7.12251,2.00731
7.14286,2.00440
7.16332,2.00147
7.18391,1.99850
7.20461,1.99550
7.22543,1.99247
7.24638,1.98940
7.26744,1.98630
7.28863,1.98316
7.30994,1.97999
7.33138,1.97678
7.35294,1.97353
7.37463,1.97025
7.39645,1.96693
7.41840,1.96357
7.44048,1.96017
7.46269,1.95673
7.48503,1.95325
7.50751,1.94972
7.53012,1.94616
7.55287,1.94255
7.57576,1.93890
7.59878,1.93521
7.62195,1.93147
7.64526,1.92768
7.66871,1.92385
7.69231,1.91997
7.71605,1.91604
7.73994,1.91206
7.76398,1.90803
7.78816,1.90396
7.81250,1.89983
7.83699,1.89564
7.86164,1.89141
7.88644,1.88712
7.91139,1.88277
7.93651,1.87836
7.96178,1.87390
7.98722,1.86938
8.01282,1.86480
8.03859,1.86016
8.06452,1.85546
8.09061,1.85069
8.11688,1.84586
8.14332,1.84096
8.16993,1.83599
8.19672,1.83096
8.22368,1.82585
8.25083,1.82068
8.27815,1.81543
8.30565,1.81011
8.33333,1.80471
8.36120,1.79923
8.38926,1.79368
8.41751,1.78804
8.44595,1.78233
8.47458,1.77653
8.50340,1.77064
8.53242,1.76466
8.56164,1.75860
8.59107,1.75245
8.62069,1.74620
8.65052,1.73986
8.68056,1.73341
8.71080,1.72687
8.74126,1.72023
8.77193,1.71349
8.80282,1.70664
8.83392,1.69968
8.86525,1.69260
8.89680,1.68542
8.92857,1.67812
8.96057,1.67070
8.99281,1.66315
9.02527,1.65549
9.05797,1.64769
9.09091,1.63976
9.12409,1.63171
9.15751,1.62351
9.19118,1.61517
9.22509,1.60669
9.25926,1.59806
9.29368,1.58928
9.32836,1.58035
9.36330,1.57126
9.39850,1.56200
9.43396,1.55258
9.46970,1.54298
9.50570,1.53322
9.54198,1.52327
9.57854,1.51313
9.61538,1.50281
9.65251,1.49229
9.68992,1.48157
9.72763,1.47065
9.76563,1.45952
9.80392,1.44817
9.84252,1.43660
9.88142,1.42480
9.92063,1.41277
9.96016,1.40050
10.00000,1.38799
10.04016,1.37522
10.08065,1.36219
10.12146,1.34890
10.16260,1.33534
10.20408,1.32150
10.24590,1.30738
10.28807,1.29296
10.33058,1.27825
10.37344,1.26324
10.41667,1.24792
10.46025,1.23229
10.50420,1.21634
10.54852,1.20007
10.59322,1.18348
10.63830,1.16656
10.68376,1.14932
10.72961,1.13177
10.77586,1.11390
10.82251,1.09572
10.86957,1.07725
10.91703,1.05851
10.96491,1.03951
11.01322,1.02029
11.06195,1.00088
11.11111,0.98133
11.16071,0.96169
11.21076,0.94202
11.26126,0.92239
11.31222,0.90289
11.36364,0.88361
11.41553,0.86465
11.46789,0.84611
11.52074,0.82810
11.57407,0.81073
11.62791,0.79409
11.68224,0.77829
11.73709,0.76340
11.79245,0.74948
11.84834,0.73657
11.90476,0.72471
11.96172,0.71391
12.01923,0.70416
12.07729,0.69544
12.13592,0.68772
12.19512,0.68098
12.25490,0.67516
12.31527,0.67024
12.37624,0.66615
12.43781,0.66286
12.50000,0.66033
12.56281,0.65851
12.62626,0.65735
12.69036,0.65684
12.75510,0.65692
12.82051,0.65757
12.88660,0.65875
12.95337,0.66045
13.02083,0.66263
13.08901,0.66528
13.15789,0.66836
13.22751,0.67187
13.29787,0.67578
13.36898,0.68008
13.44086,0.68476
13.51351,0.68980
13.58696,0.69519
13.66120,0.70092
13.73626,0.70697
13.81215,0.71335
13.88889,0.72004
13.96648,0.72703
14.04494,0.73431
