wl,n
7.00,3.0817
7.01,3.0811
7.02,3.0805
7.03,3.0799
7.04,3.0793
7.05,3.0787
7.06,3.0782
7.07,3.0776
7.08,3.0770
7.09,3.0764
7.10,3.0758
7.11,3.0753
7.12,3.0747
7.13,3.0741
7.14,3.0735
7.15,3.0729
7.16,3.0724
7.17,3.0718
7.18,3.0712
7.19,3.0706
7.20,3.0701
7.21,3.0695
7.22,3.0689
7.23,3.0683
7.24,3.0678
7.25,3.0672
7.26,3.0666
7.27,3.0660
7.28,3.0655
7.29,3.0649
7.30,3.0643
7.31,3.0637
7.32,3.0632
7.33,3.0626
7.34,3.0620
7.35,3.0615
7.36,3.0609
7.37,3.0603
7.38,3.0598
7.39,3.0592
7.40,3.0587
7.41,3.0581
7.42,3.0575
7.43,3.0570
7.44,3.0564
7.45,3.0559
7.46,3.0553
7.47,3.0548
7.48,3.0543
7.49,3.0537
7.50,3.0532
7.51,3.0526
7.52,3.0521
7.53,3.0516
7.54,3.0511
7.55,3.0505
7.56,3.0500
7.57,3.0495
7.58,3.0490
7.59,3.0485
7.60,3.0479
7.61,3.0474
7.62,3.0469
7.63,3.0464
7.64,3.0459
7.65,3.0454
7.66,3.0449
7.67,3.0443
7.68,3.0438
7.69,3.0433
7.70,3.0428
7.71,3.0423
7.72,3.0417
7.73,3.0412
7.74,3.0407
7.75,3.0401
7.76,3.0396
7.77,3.0390
7.78,3.0384
7.79,3.0379
7.80,3.0373
7.81,3.0367
7.82,3.0361
7.83,3.0355
7.84,3.0349
7.85,3.0343
7.86,3.0337
7.87,3.0331
7.88,3.0324
7.89,3.0318
7.90,3.0311
7.91,3.0304
7.92,3.0297
7.93,3.0290
7.94,3.0283
7.95,3.0276
7.96,3.0268
7.97,3.0261
7.98,3.0253
7.99,3.0245
8.00,3.0236
8.01,3.0228
8.02,3.0219
8.03,3.0210
8.04,3.0201
8.05,3.0192
8.06,3.0183
8.07,3.0173
8.08,3.0163
8.09,3.0153
8.10,3.0143
8.11,3.0132
8.12,3.0122
8.13,3.0111
8.14,3.0100
8.15,3.0089
8.16,3.0078
8.17,3.0067
8.18,3.0056
8.19,3.0044
8.20,3.0033
8.21,3.0021
8.22,3.0010
8.23,2.9998
8.24,2.9986
8.25,2.9975
8.26,2.9963
8.27,2.9951
8.28,2.9939
8.29,2.9928
8.30,2.9916
8.31,2.9904
8.32,2.9893
8.33,2.9881
8.34,2.9870
8.35,2.9858
8.36,2.9847
8.37,2.9835
8.38,2.9824
8.39,2.9812
8.40,2.9801
8.41,2.9790
8.42,2.9779
8.43,2.9768
8.44,2.9757
8.45,2.9746
8.46,2.9735
8.47,2.9724
8.48,2.9713
8.49,2.9702
8.50,2.9691
8.51,2.9680
8.52,2.9670
8.53,2.9659
8.54,2.9648
8.55,2.9638
8.56,2.9627
8.57,2.9617
8.58,2.9607
8.59,2.9596
8.60,2.9586
8.61,2.9576
8.62,2.9566
8.63,2.9556
8.64,2.9546
8.65,2.9536
8.66,2.9526
8.67,2.9516
8.68,2.9506
8.69,2.9496
8.70,2.9487
8.71,2.9477
8.72,2.9467
8.73,2.9458
8.74,2.9448
8.75,2.9439
8.76,2.9430
8.77,2.9421
8.78,2.9411
8.79,2.9402
