wl,k
6.9930,0.034
7.0423,0.034
7.0922,0.034
7.1429,0.036
7.1942,0.033
7.2464,0.034
7.2993,0.037
7.4074,0.037
7.4627,0.035
7.5188,0.036
7.5758,0.037
7.6336,0.038
7.6923,0.037
7.7519,0.037
7.8125,0.037
7.8740,0.037
7.9365,0.039
8.0000,0.037
8.0645,0.040
8.1301,0.042
8.1967,0.039
8.2645,0.039
8.3333,0.040
8.4034,0.040
8.4746,0.041
8.5470,0.039
8.6207,0.040
8.6957,0.041
8.7719,0.043
8.8496,0.043
8.9286,0.044
9.0090,0.044
9.0909,0.045
9.1743,0.048
9.2593,0.049
9.3458,0.049
9.4340,0.050
9.5238,0.052
9.6154,0.054
9.7087,0.058
9.8039,0.057
9.9010,0.058
10.0000,0.060
10.1010,0.062
10.2041,0.059
10.3093,0.060
10.4167,0.061
10.5263,0.059
10.6383,0.061
10.7527,0.061
10.8696,0.062
10.9890,0.066
11.1111,0.065
11.2360,0.067
11.3636,0.069
11.4943,0.069
11.6279,0.069
11.7647,0.067
11.9048,0.066
12.0482,0.062
12.1951,0.062
12.3457,0.062
12.5000,0.063
12.6582,0.062
12.8205,0.063
12.9870,0.062
13.1579,0.062
13.3333,0.064
13.5135,0.069
13.6986,0.071
13.8889,0.073
14.0845,0.073
