wl,n
6.9930,1.682
7.0423,1.682
7.0922,1.677
7.1429,1.679
7.1942,1.677
7.2464,1.673
7.2993,1.670
7.4074,1.673
7.4627,1.671
7.5188,1.667
7.5758,1.666
7.6336,1.665
7.6923,1.663
7.7519,1.661
7.8125,1.659
7.8740,1.657
7.9365,1.655
8.0000,1.654
8.0645,1.649
8.1301,1.651
8.1967,1.649
8.2645,1.644
8.3333,1.643
8.4034,1.640
8.4746,1.638
8.5470,1.635
8.6207,1.630
8.6957,1.627
8.7719,1.624
8.8496,1.621
8.9286,1.618
9.0090,1.615
9.0909,1.610
9.1743,1.608
9.2593,1.605
9.3458,1.601
9.4340,1.597
9.5238,1.592
9.6154,1.588
9.7087,1.586
9.8039,1.584
9.9010,1.578
10.0000,1.574
10.1010,1.574
10.2041,1.569
10.3093,1.562
10.4167,1.559
10.5263,1.554
10.6383,1.546
10.7527,1.541
10.8696,1.533
10.9890,1.528
11.1111,1.523
11.2360,1.515
11.3636,1.510
11.4943,1.504
11.6279,1.499
11.7647,1.491
11.9048,1.484
12.0482,1.473
12.1951,1.460
12.3457,1.448
12.5000,1.436
12.6582,1.422
12.8205,1.408
12.9870,1.392
13.1579,1.375
13.3333,1.354
13.5135,1.335
13.6986,1.317
13.8889,1.296
14.0845,1.272
